"id","borough"
0,"Bronx"
1,"Queens"
2,"Staten Island"
3,"Staten Island"
4,"Staten Island"
5,"Queens"
6,"Queens"
7,"Brooklyn"
8,"Manhattan"
9,"Brooklyn"
10,"Queens"
11,"Staten Island"
12,"Bronx"
13,"Queens"
14,"Queens"
15,"Queens"
16,"Brooklyn"
17,"Queens"
18,"Queens"
19,"Bronx"
20,"Brooklyn"
21,"Brooklyn"
22,"Staten Island"
23,"Brooklyn"
24,"Brooklyn"
25,"Queens"
26,"Queens"
27,"Brooklyn"
28,"Queens"
29,"Queens"
30,"Queens"
31,"Queens"
32,"Queens"
33,"Queens"
34,"Queens"
35,"Queens"
36,"Queens"
37,"Queens"
38,"Bronx"
39,"Bronx"
40,"Brooklyn"
41,"Brooklyn"
42,"Staten Island"
43,"Brooklyn"
44,"Queens"
45,"Brooklyn"
46,"Brooklyn"
47,"Bronx"
48,"Staten Island"
49,"Manhattan"
50,"Staten Island"
51,"Manhattan"
52,"Staten Island"
53,"Manhattan"
54,"Bronx"
55,"Bronx"
56,"Manhattan"
57,"Bronx"
58,"Bronx"
59,"Staten Island"
60,"Brooklyn"
61,"Bronx"
62,"Brooklyn"
63,"Queens"
64,"Brooklyn"
65,"Staten Island"
66,"Bronx"
67,"Bronx"
68,"Brooklyn"
69,"Queens"
70,"Bronx"
71,"Bronx"
72,"Brooklyn"
73,"Queens"
74,"Brooklyn"
75,"Brooklyn"
76,"Queens"
77,"Staten Island"
78,"Queens"
79,"Brooklyn"
80,"Brooklyn"
81,"Queens"
82,"Brooklyn"
83,"Manhattan"
84,"Bronx"
85,"Brooklyn"
86,"Manhattan"
87,"Bronx"
88,"Bronx"
89,"Queens"
90,"Manhattan"
91,"Queens"
92,"Staten Island"
93,"Staten Island"
94,"Queens"
95,"Bronx"
96,"Bronx"
97,"Manhattan"
98,"Brooklyn"
99,"Manhattan"
100,"Brooklyn"
101,"Queens"
102,"Brooklyn"
103,"Queens"
104,"Queens"
105,"Bronx"
106,"Queens"
107,"Queens"
108,"Brooklyn"
109,"Brooklyn"
110,"Staten Island"
111,"Queens"
112,"Staten Island"
113,"Brooklyn"
114,"Queens"
115,"Queens"
116,"Manhattan"
117,"Brooklyn"
118,"Manhattan"
119,"Staten Island"
120,"Staten Island"
121,"Brooklyn"
122,"Staten Island"
123,"Staten Island"
124,"Brooklyn"
125,"Brooklyn"
126,"Manhattan"
127,"Staten Island"
128,"Manhattan"
129,"Bronx"
130,"Manhattan"
131,"Bronx"
132,"Staten Island"
133,"Queens"
134,"Queens"
135,"Queens"
136,"Queens"
137,"Queens"
138,"Staten Island"
139,"Staten Island"
140,"Bronx"
141,"Manhattan"
142,"Queens"
143,"Queens"
144,"Brooklyn"
145,"Brooklyn"
146,"Brooklyn"
147,"Brooklyn"
148,"Brooklyn"
149,"Brooklyn"
150,"Brooklyn"
151,"Brooklyn"
