district_id,district_name,borough_id,borough_name,centroid_lon,centroid_lat
0,Allerton,2,Bronx,-73.8599838587,40.8647273447
1,Alley Pond Park,4,Queens,-73.7445127998,40.750261965
2,Arden Heights,5,Staten Island,-74.1794604759,40.5548101195
3,Arlington,5,Staten Island,-74.1597474189,40.642947613
4,Arrochar,5,Staten Island,-74.0721823608,40.5931867664
5,Arverne,4,Queens,-73.7954915971,40.5933785584
6,Astoria,4,Queens,-73.919745973,40.7651866576
7,Bath Beach,3,Brooklyn,-74.0066104173,40.6036454412
8,Battery Park City,1,Manhattan,-74.0160840841,40.7112519086
9,Bay Ridge,3,Brooklyn,-74.0281968646,40.6310712408
10,Bay Terrace,4,Queens,-73.7831368556,40.7847717077
11,"Bay Terrace, Staten Island",5,Staten Island,-74.1387871658,40.5580561185
12,Baychester,2,Bronx,-73.8404031488,40.8716723043
13,Bayside,4,Queens,-73.7678905755,40.7581834895
14,Bayswater,4,Queens,-73.7642862291,40.6060722188
15,Bayswater,4,Queens,-73.7695033936,40.6173999015
16,Bedford-Stuyvesant,3,Brooklyn,-73.9382013571,40.6870682059
17,Belle Harbor,4,Queens,-73.8517978838,40.576091533
18,Bellerose,4,Queens,-73.7262895729,40.735965918
19,Belmont,2,Bronx,-73.888230958,40.8537962088
20,Bensonhurst,3,Brooklyn,-73.9947230245,40.6129150416
21,Bergen Beach,3,Brooklyn,-73.9049903836,40.6194234826
22,Bloomfield,5,Staten Island,-74.1902752637,40.6175524597
23,Boerum Hill,3,Brooklyn,-73.9850764397,40.6864368841
24,Borough Park,3,Brooklyn,-73.9903693377,40.6304712736
25,Breezy Point,4,Queens,-73.9070456729,40.5590928527
26,Briarwood,4,Queens,-73.8141515556,40.7108273696
27,Brighton Beach,3,Brooklyn,-73.9681509769,40.5782727012
28,Broad Channel,4,Queens,-73.8375123292,40.592832261
29,Broad Channel,4,Queens,-73.8123833059,40.6014046702
30,Broad Channel,4,Queens,-73.8273460581,40.6069682387
31,Broad Channel,4,Queens,-73.8271676941,40.60900125
32,Broad Channel,4,Queens,-73.7997238027,40.606982755
33,Broad Channel,4,Queens,-73.8327566372,40.6076739393
34,Broad Channel,4,Queens,-73.7909080878,40.6154358937
35,Broad Channel,4,Queens,-73.802223896,40.6214876634
36,Broad Channel,4,Queens,-73.8137648485,40.6252541514
37,Broad Channel,4,Queens,-73.8246478228,40.6178703874
38,Bronx Park,2,Bronx,-73.8754492997,40.8577241602
39,Bronxdale,2,Bronx,-73.8645074133,40.8547649349
40,Brooklyn Heights,3,Brooklyn,-73.9957051746,40.6960696534
41,Brownsville,3,Brooklyn,-73.9102524399,40.6637927804
42,Bull's Head,5,Staten Island,-74.1617018292,40.6051630079
43,Bushwick,4,Brooklyn,-73.9186371208,40.6957490976
44,Cambria Heights,4,Queens,-73.7368181504,40.6932318877
45,Canarsie,3,Brooklyn,-73.8997068427,40.6388395563
46,Carroll Gardens,3,Brooklyn,-73.9970640478,40.680540008
47,Castle Hill,2,Bronx,-73.8482586821,40.8187714118
48,Castleton Corners,5,Staten Island,-74.1212874207,40.6162410539
49,Central Park,1,Manhattan,-73.9655748206,40.7824727003
50,Charleston,5,Staten Island,-74.2325579532,40.541751846
51,Chelsea,1,Manhattan,-73.9998129569,40.7466077028
52,"Chelsea, Staten Island",5,Staten Island,-74.1930587001,40.5910290902
53,Chinatown,1,Manhattan,-73.9957120933,40.7157806863
54,City Island,2,Bronx,-73.785740941,40.8596654885
55,City Island,2,Bronx,-73.7866536857,40.8469317884
56,Civic Center,1,Manhattan,-74.0028485393,40.7138696028
57,Claremont Village,2,Bronx,-73.9060817707,40.8393636936
58,Clason Point,2,Bronx,-73.8621220635,40.8141385644
59,Clifton,5,Staten Island,-74.0785896884,40.6205077399
60,Clinton Hill,3,Brooklyn,-73.9644692773,40.6892939005
61,Co-op City,2,Bronx,-73.8267251646,40.872268405
62,Cobble Hill,3,Brooklyn,-73.9958911417,40.6875046836
63,College Point,4,Queens,-73.8410393942,40.7817682954
64,Columbia St,3,Brooklyn,-74.0048987072,40.6859929276
65,Concord,5,Staten Island,-74.0810696376,40.6022097202
66,Concourse,2,Bronx,-73.9256253828,40.8280773225
67,Concourse Village,2,Bronx,-73.9169815845,40.8285971078
68,Coney Island,3,Brooklyn,-73.9924979374,40.5757089911
69,Corona,4,Queens,-73.8592665409,40.7431271492
70,Country Club,2,Bronx,-73.8203193759,40.8415982941
71,Crotona Park,2,Bronx,-73.8952122599,40.8385683238
72,Crown Heights,3,Brooklyn,-73.9409541118,40.6716477303
73,Cunningham Park,4,Queens,-73.7681506754,40.7331580819
74,Cypress Hills,4,Brooklyn,-73.8818108491,40.6814775554
75,DUMBO,3,Brooklyn,-73.9890196395,40.7032697803
76,Ditmars Steinway,4,Queens,-73.9060034219,40.7778036636
77,Dongan Hills,5,Staten Island,-74.0933366144,40.5824259656
78,Douglaston,4,Queens,-73.7421655716,40.7630644014
79,Downtown Brooklyn,3,Brooklyn,-73.9865483934,40.6947892503
80,Dyker Heights,3,Brooklyn,-74.0135408524,40.6196271085
81,East Elmhurst,4,Queens,-73.8805120642,40.7625885445
82,East Flatbush,3,Brooklyn,-73.9329168328,40.6476929419
83,East Harlem,1,Manhattan,-73.9406083604,40.7968978408
84,East Morrisania,2,Bronx,-73.8873166199,40.8335282555
85,East New York,4,Brooklyn,-73.8780704048,40.6606014318
86,East Village,1,Manhattan,-73.9824060022,40.7261746486
87,Eastchester,2,Bronx,-73.8258603689,40.8850474637
88,Edenwald,2,Bronx,-73.8401378222,40.8869559908
89,Edgemere,4,Queens,-73.7776677025,40.5972305593
90,Ellis Island,1,Manhattan,-74.0407681738,40.6987694235
91,Elmhurst,4,Queens,-73.8788870443,40.737366195
92,Eltingville,5,Staten Island,-74.1543337403,40.5422278914
93,Emerson Hill,5,Staten Island,-74.1282922306,40.6045348381
94,Far Rockaway,4,Queens,-73.7507308878,40.60018668
95,Ferry Point Park,2,Bronx,-73.8326710446,40.8136231832
96,Fieldston,2,Bronx,-73.9027347494,40.8943563774
97,Financial District,1,Manhattan,-74.0091809334,40.7069954581
98,Flatbush,3,Brooklyn,-73.9599858748,40.6418494845
99,Flatiron District,1,Manhattan,-73.9889325521,40.7413780773
100,Flatlands,3,Brooklyn,-73.9308560002,40.6242730729
101,Floral Park,4,Queens,-73.7077516214,40.7423588861
102,Floyd Bennett Field,3,Brooklyn,-73.8931683308,40.5920699927
103,Flushing,4,Queens,-73.8140319111,40.7523719255
104,Flushing Meadows Corona Park,4,Queens,-73.8406421996,40.7390657262
105,Fordham,2,Bronx,-73.8935258007,40.8618907308
106,Forest Hills,4,Queens,-73.8470236698,40.7200450397
107,Forest Park,4,Queens,-73.8739116247,40.695393296
108,Fort Greene,3,Brooklyn,-73.9749678356,40.6905974792
109,Fort Hamilton,3,Brooklyn,-74.0312194014,40.6150264736
